,playerName,primNat,pos,formClub,formNation,newClub,newNation,transferCost,transferYear
11138,Yannis Salibur,France,Right Winger,EA Guingamp,France,RCD Mallorca,Spain,2000000.0,2019
11139,Martin Valjent,Slovakia,Centre-Back,Chievo Verona,Italy,RCD Mallorca,Spain,1500000.0,2019
11140,Igor Zlatanovic,Serbia,Centre-Forward,FK Radnik Surdulica,Serbia,RCD Mallorca,Spain,1300000.0,2019
11141,Álex Alegría,Spain,Centre-Forward,Real Betis Balompié,Spain,RCD Mallorca,Spain,0.0,2019
11142,Aleksandar Sedlar,Serbia,Centre-Back,Piast Gliwice,Poland,RCD Mallorca,Spain,0.0,2019
11143,Pablo Chavarría,Argentina,Centre-Forward,Stade Reims,France,RCD Mallorca,Spain,0.0,2019
11144,Josep Señé,Spain,Attacking Midfield,Cultural Leonesa,Spain,RCD Mallorca,Spain,0.0,2019
11145,Aleix Febas,Spain,Central Midfield,Real Madrid Castilla,Spain,RCD Mallorca,Spain,0.0,2019
11146,Aleksandar Trajkovski,North Macedonia,Left Winger,SSD Palermo,Italy,RCD Mallorca,Spain,0.0,2019
11147,Sung-yueng Ki,"Korea, South",Defensive Midfield,Newcastle United,England,RCD Mallorca,Spain,0.0,2019
11148,Iñigo Ruiz de Galarreta,Spain,Central Midfield,UD Las Palmas,Spain,RCD Mallorca,Spain,?,2019
11149,Pol Roigé,Spain,Right Winger,RCD Mallorca,Spain,GIF Sundsvall,Sweden,0.0,2019
11150,Leandro Montagud,Spain,Goalkeeper,RCD Mallorca,Spain,Cultural Leonesa,Spain,0.0,2019
11151,Salva Ruiz,Spain,Left-Back,RCD Mallorca,Spain,Valencia CF,Spain,0.0,2019
11152,Álvaro Bustos,Spain,Left Winger,RCD Mallorca,Spain,Pontevedra CF,Spain,0.0,2019
11153,Alejandro Faurlín,Argentina,Central Midfield,RCD Mallorca,Spain,Marbella FC,Spain,0.0,2019
11154,Fer Cano,Spain,Attacking Midfield,RCD Mallorca,Spain,Lleida Esportiu,Spain,0.0,2019
11155,Aridai Cabrera,Spain,Right Winger,RCD Mallorca,Spain,UD Las Palmas,Spain,0.0,2019
11156,Achraf Hakimi,Morocco,Right-Back,Real Madrid,Spain,Inter Milan,Italy,43000000.0,2020
11157,Sergio Reguilón,Spain,Left-Back,Real Madrid,Spain,Tottenham Hotspur,England,30000000.0,2020
11158,Óscar Rodríguez,Spain,Attacking Midfield,Real Madrid,Spain,Sevilla FC,Spain,13500000.0,2020
11159,Javi Sánchez,Spain,Centre-Back,Real Madrid,Spain,Real Valladolid CF,Spain,3000000.0,2020
11160,Alberto Soro,Spain,Right Winger,Real Madrid,Spain,Granada CF,Spain,2500000.0,2020
11161,Dani Gómez,Spain,Centre-Forward,Real Madrid,Spain,Levante UD,Spain,2000000.0,2020
11162,Jorge de Frutos,Spain,Right Winger,Real Madrid,Spain,Levante UD,Spain,2000000.0,2020
11163,Luca Zidane,France,Goalkeeper,Real Madrid,Spain,Rayo Vallecano,Spain,0.0,2020
11164,James Rodríguez,Colombia,Attacking Midfield,Real Madrid,Spain,Everton FC,England,0.0,2020
11165,Miralem Pjanic,Bosnia-Herzegovina,Central Midfield,Juventus FC,Italy,FC Barcelona,Spain,60000000.0,2020
11166,Trincão,Portugal,Right Winger,SC Braga,Portugal,FC Barcelona,Spain,30940000.0,2020
11167,Sergiño Dest,United States,Right-Back,Ajax Amsterdam,Netherlands,FC Barcelona,Spain,21000000.0,2020
11168,Óscar Mingueza,Spain,Centre-Back,FC Barcelona B,Spain,FC Barcelona,Spain,0.0,2020
11169,Monchu,Spain,Central Midfield,FC Barcelona B,Spain,FC Barcelona,Spain,0.0,2020
11170,Ronald Araújo,Uruguay,Centre-Back,FC Barcelona B,Spain,FC Barcelona,Spain,0.0,2020
11171,Riqui Puig,Spain,Central Midfield,FC Barcelona B,Spain,FC Barcelona,Spain,0.0,2020
