,playerName,primNat,pos,formClub,formNation,newClub,newNation,transferCost,transferYear
13606,Enzo Millot,France,Central Midfield,AS Monaco,France,VfB Stuttgart,Germany,1750000.0,2021
13607,Gil Dias,Portugal,Right Winger,AS Monaco,France,SL Benfica,Portugal,1500000.0,2021
13608,Keita Baldé,Senegal,Centre-Forward,AS Monaco,France,Cagliari Calcio,Italy,0.0,2021
13609,Youssef Aït Bennasser,Morocco,Defensive Midfield,AS Monaco,France,Adanaspor,Turkey,0.0,2021
13610,Stevan Jovetic,Montenegro,Centre-Forward,AS Monaco,France,Hertha BSC,Germany,0.0,2021
13611,Jorge,Brazil,Left-Back,AS Monaco,France,Sociedade Esportiva Palmeiras,Brazil,0.0,2021
13615,Romain Faivre,France,Right Midfield,Stade Brestois 29,France,Olympique Lyon,France,15000000.0,2021
13616,Xherdan Shaqiri,Switzerland,Attacking Midfield,Liverpool FC,England,Olympique Lyon,France,6000000.0,2021
13617,Jérôme Boateng,Germany,Centre-Back,Bayern Munich,Germany,Olympique Lyon,France,0.0,2021
13618,Henrique Silva,Brazil,Left-Back,Clube de Regatas Vasco da Gama,Brazil,Olympique Lyon,France,0.0,2021
13619,Damien Da Silva,France,Centre-Back,Stade Rennais FC,France,Olympique Lyon,France,0.0,2021
13620,Malcolm Barcola,Togo,Goalkeeper,Olympique Lyon B,France,Olympique Lyon,France,0.0,2021
13621,Malo Gusto,France,Right-Back,Olympique Lyon B,France,Olympique Lyon,France,0.0,2021
13622,Habib Keïta,Mali,Central Midfield,Olympique Lyon B,France,Olympique Lyon,France,0.0,2021
13623,Castello Lukeba,France,Centre-Back,Olympique Lyon B,France,Olympique Lyon,France,0.0,2021
13624,Florent Sanchez,France,Central Midfield,Olympique Lyon B,France,Olympique Lyon,France,0.0,2021
13625,Bradley Barcola,France,Right Winger,Olympique Lyon B,France,Olympique Lyon,France,0.0,2021
13626,Bruno Guimarães,Brazil,Defensive Midfield,Olympique Lyon,France,Newcastle United,England,42100000.0,2021
13627,Joachim Andersen,Denmark,Centre-Back,Olympique Lyon,France,Crystal Palace,England,17500000.0,2021
13628,Maxwel Cornet,Cote d'Ivoire,Left Winger,Olympique Lyon,France,Burnley FC,England,15000000.0,2021
13629,Jean Lucas,Brazil,Central Midfield,Olympique Lyon,France,AS Monaco,France,11000000.0,2021
13630,Xherdan Shaqiri,Switzerland,Attacking Midfield,Olympique Lyon,France,Chicago Fire FC,United States,7000000.0,2021
13631,Melvin Bard,France,Left-Back,Olympique Lyon,France,OGC Nice,France,3000000.0,2021
13632,Djamel Eddine Benlamri,Algeria,Centre-Back,Olympique Lyon,France,Qatar SC,Qatar,0.0,2021
13633,Marcelo,Brazil,Centre-Back,Olympique Lyon,France,FC Girondins Bordeaux,France,0.0,2021
13634,Memphis Depay,Netherlands,Centre-Forward,Olympique Lyon,France,FC Barcelona,Spain,0.0,2021
13635,Islam Slimani,Algeria,Centre-Forward,Olympique Lyon,France,Sporting CP,Portugal,0.0,2021
13636,Gerson,Brazil,Central Midfield,CR Flamengo,Brazil,Olympique Marseille,France,20500000.0,2021
13637,Pol Lirola,Spain,Right-Back,ACF Fiorentina,Italy,Olympique Marseille,France,13000000.0,2021
13638,Leonardo Balerdi,Argentina,Centre-Back,Borussia Dortmund,Germany,Olympique Marseille,France,11000000.0,2021
13639,Luan Peres,Brazil,Centre-Back,Santos FC,Brazil,Olympique Marseille,France,4500000.0,2021
13640,Konrad de la Fuente,United States,Left Winger,FC Barcelona B,Spain,Olympique Marseille,France,3000000.0,2021
13641,Samuel Gigot,France,Centre-Back,Spartak Moscow,Russia,Olympique Marseille,France,500000.0,2021
13642,Bamba Dieng,Senegal,Centre-Forward,Diambars Football Club,Senegal,Olympique Marseille,France,400000.0,2021
13643,Cédric Bakambu,DR Congo,Centre-Forward,Beijing Guoan,China,Olympique Marseille,France,0.0,2021
13644,Sead Kolasinac,Bosnia-Herzegovina,Left-Back,Arsenal FC,England,Olympique Marseille,France,0.0,2021
13645,Oussama Targhalline,Morocco,Central Midfield,Olympique de Marseille B,France,Olympique Marseille,France,0.0,2021
13646,Darío Benedetto,Argentina,Centre-Forward,Olympique Marseille,France,CA Boca Juniors,Argentina,3000000.0,2021
